순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
13,쿠싱,한화,7.36,2,0,1,0,0,0.000,3 2/3,4,0,2,0,3,3,3,1.64,0,0,0,0,18,74,0.250,2,0,0,0,0,0,0
14,강재민,한화,7.71,2,0,0,0,0,-,2 1/3,2,0,3,2,1,2,2,2.14,0,0,0,0,14,51,0.222,0,0,0,0,0,0,0
14,박준영,한화,7.71,7,0,0,0,0,-,4 2/3,7,1,6,0,6,5,4,2.79,0,0,0,0,26,112,0.368,2,1,0,1,0,0,0
16,김서현,한화,9.00,7,0,1,1,0,0.000,6,5,0,12,2,5,6,6,2.83,0,0,0,1,37,155,0.227,1,0,1,0,0,1,0
16,윤산흠,한화,9.00,7,0,0,0,0,-,6,8,1,5,1,5,6,6,2.17,0,0,0,0,31,126,0.333,3,0,1,0,0,0,0
18,정우주,한화,9.82,11,0,0,0,3,-,7 1/3,12,0,7,2,12,8,8,2.59,0,0,0,1,42,177,0.364,3,0,0,0,0,3,0
19,에르난데스,한화,9.98,4,1,2,0,0,0.333,15 1/3,20,2,11,0,10,18,17,2.02,0,0,0,0,76,311,0.313,4,0,1,0,0,0,0
20,박상원,한화,12.86,9,0,1,0,2,0.000,7,12,0,5,0,10,10,10,2.43,0,0,0,1,38,152,0.375,3,0,0,1,0,0,0
21,김범준,한화,13.50,1,0,0,0,0,-,2/3,2,0,0,0,0,1,1,3.00,0,0,0,0,4,14,0.667,0,1,1,0,0,0,0
22,김도빈,한화,22.50,5,0,1,0,1,0.000,4,3,0,8,2,6,10,10,2.75,0,0,0,0,25,112,0.214,2,1,0,1,0,3,0
23,엄상백,한화,27.00,1,0,0,0,0,-,1/3,2,0,0,1,0,1,1,6.00,0,0,0,0,4,13,0.667,2,0,0,0,0,0,0
24,원종혁,한화,33.75,3,1,0,0,0,1.000,1 1/3,7,1,3,0,2,6,5,7.50,0,0,0,0,15,60,0.583,2,0,0,0,0,0,0
