순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
16,안치영,KT,-,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
16,우규민,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000
16,유준규,KT,0.000,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000
16,장진혁,KT,0.000,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000
16,조대현,KT,-,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-,1.000,1.000,0,0.000,0.000
1,이영빈,LG,0.500,7,6,6,2,3,0,0,0,3,0,0,0,0,0,0,1,0,0.500,0.500,1.000,0,0.000,0.000
2,오스틴,LG,0.371,16,74,62,16,23,3,0,5,41,12,0,1,11,0,0,7,1,0.661,0.459,1.120,6,0.357,0.000
3,천성호,LG,0.366,15,49,41,9,15,4,0,1,22,6,1,0,6,0,1,8,2,0.537,0.458,0.995,4,0.222,0.500
4,문성주,LG,0.357,16,65,56,5,20,3,0,0,23,8,1,1,5,1,2,7,0,0.411,0.422,0.833,6,0.385,0.000
5,오지환,LG,0.283,15,58,53,7,15,3,0,1,21,12,0,1,3,0,1,7,0,0.396,0.328,0.724,5,0.467,0.000
6,박해민,LG,0.281,16,66,57,4,16,4,0,0,20,6,2,1,4,0,2,8,0,0.351,0.344,0.695,4,0.250,0.000
7,문보경,LG,0.265,15,66,49,6,13,3,0,1,19,9,0,2,14,1,1,13,1,0.388,0.424,0.812,3,0.357,0.000
8,박동원,LG,0.209,15,58,43,10,9,2,0,1,14,10,0,2,12,0,1,13,1,0.326,0.379,0.705,1,0.167,0.000
9,이주헌,LG,0.200,8,10,10,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.200,0.200,0.400,0,0.250,0.000
9,최원영,LG,0.200,11,5,5,5,1,1,0,0,2,1,0,0,0,0,0,1,0,0.400,0.200,0.600,0,0.333,0.000
11,신민재,LG,0.185,16,62,54,3,10,0,0,0,10,4,2,0,6,0,0,14,2,0.185,0.267,0.452,1,0.294,0.000
12,구본혁,LG,0.167,16,29,24,2,4,0,0,0,4,3,3,0,2,0,0,5,0,0.167,0.231,0.398,0,0.250,1.000
13,홍창기,LG,0.154,16,69,52,6,8,2,0,0,10,3,0,0,14,0,3,15,0,0.192,0.362,0.554,1,0.167,0.000
14,이재원,LG,0.071,11,17,14,0,1,0,0,0,1,1,0,0,2,0,1,9,0,0.071,0.235,0.306,0,0.000,0.000
15,송찬의,LG,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000
1,박건우,NC,0.340,16,63,53,8,18,5,0,4,35,11,0,0,10,1,0,17,0,0.660,0.444,1.104,6,0.353,0.000
2,권희동,NC,0.333,2,5,3,2,1,0,0,0,1,1,0,0,2,0,0,1,0,0.333,0.600,0.933,0,1.000,0.000
2,박민우,NC,0.333,15,69,60,13,20,6,0,1,29,11,0,0,8,0,1,10,1,0.483,0.420,0.903,7,0.389,0.000
2,오영수,NC,0.333,7,11,9,2,3,0,0,1,6,2,0,0,1,0,1,2,1,0.667,0.455,1.122,1,0.200,0.000
5,최정원,NC,0.310,16,57,42,6,13,0,0,0,13,1,5,0,7,0,3,7,0,0.310,0.442,0.752,3,0.286,0.000
6,김휘집,NC,0.288,16,61,52,4,15,2,0,0,17,11,0,0,4,0,5,10,1,0.327,0.393,0.720,5,0.400,0.000
7,한석현,NC,0.286,11,15,14,1,4,1,0,0,5,2,1,0,0,0,0,2,0,0.357,0.286,0.643,1,0.333,0.000
8,이우성,NC,0.262,14,47,42,5,11,3,0,2,20,2,0,0,5,0,0,10,0,0.476,0.340,0.816,4,0.111,0.000
